id,post_title,tema,bloque_lomloe,edad_recomendada,tiempo_estimado,dificultad,objetivos_raw,instrucciones_raw,descripcion_referencia,contenido_ficha_html,descripcion,status,Nivel Educativo,Curso,Asignatura,Meta Titulo,Meta Descripcion
INF001,Contar hasta 5,Números 1-5,Sentido Numérico,3-4 años,3,Fácil,Contar objetos del 1 al 5|Identificar cantidades pequeñas|Asociar número con cantidad visual,Observa cada grupo de objetos|Cuenta con tus deditos|Señala el número correcto,"Ficha interactiva para los más pequeños que aprenden a contar hasta 5. Presenta objetos visuales grandes y coloridos (círculos, estrellas, corazones). El niño cuenta y selecciona el número correcto. 8 ejercicios simples con apoyo visual constante. Duración: 3 minutos. Edad: 3-4 años. Nivel: Fácil.",,<p>Primera <strong>ficha de números</strong> para niños de <strong>3 años</strong>. Aprende a contar del 1 al 5 con dibujos grandes y bonitos. Perfecta para <strong>Infantil 3 años</strong>.</p>,pending,Infantil,3 Años,Matemáticas,Contar hasta 5 | 3 Años (3-4) Infantil Interactiva,"Ficha interactiva con 8 ejercicios para contar del 1 al 5. 3 Años Infantil, nivel fácil. ¡Aprende contando objetos coloridos! Descarga gratis."
INF002,Número 1,Números 1-5,Sentido Numérico,3-4 años,2,Fácil,Reconocer el número 1|Contar un solo objeto|Identificar el número 1 en diferentes contextos,Mira el número 1|Busca grupos de 1 objeto|Elige la respuesta correcta,"Ficha dedicada al número 1. El niño aprende a reconocer su grafía y asociarlo con un solo objeto. 6 ejercicios con estrella sola, corazón solo, círculo solo. Muy visual y repetitivo para reforzar el concepto.",,<p>Aprende el <strong>número 1</strong> con esta ficha para <strong>3 años</strong>. Perfecta para empezar con los números en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Matemáticas,Número 1 | 3 Años (3-4) Infantil PDF,"Ficha del número 1 con 6 ejercicios de reconocimiento y conteo. 3 Años Infantil, nivel fácil. ¡Aprende el primer número! Descarga PDF gratis."
INF003,Número 2,Números 1-5,Sentido Numérico,3-4 años,2,Fácil,Reconocer el número 2|Contar dos objetos|Identificar parejas,Busca el número 2|Cuenta dos objetos iguales|Señala la respuesta,"Ficha del número 2. Presenta parejas de objetos (dos estrellas, dos corazones). El niño cuenta hasta dos y reconoce el número. 6 ejercicios simples y repetitivos.",,<p>Ficha del <strong>número 2</strong> para <strong>3 años</strong>. Aprende a contar parejas de objetos en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Matemáticas,Número 2 | 3 Años (3-4) Infantil Interactiva,"Ficha del número 2 con 6 ejercicios de parejas y conteo. 3 Años Infantil, nivel fácil. ¡Cuenta de dos en dos! Descarga gratis."
INF004,Número 3,Números 1-5,Sentido Numérico,3-4 años,2,Fácil,Reconocer el número 3|Contar tres objetos|Asociar número con cantidad,Observa el número 3|Cuenta tres objetos|Elige la respuesta correcta,Ficha del número 3. Grupos de tres objetos visuales. El niño cuenta y selecciona el número correcto entre opciones. 6 ejercicios progresivos.,,<p><strong>Número 3</strong> para <strong>Infantil 3 años</strong>. Aprende contando tres objetos coloridos.</p>,pending,Infantil,3 Años,Matemáticas,Número 3 | 3 Años (3-4) Infantil PDF,"Ficha del número 3 con 6 ejercicios de conteo visual. 3 Años Infantil, nivel fácil. ¡Practica el número 3! Descarga PDF gratis."
INF005,Círculo y cuadrado,Formas Geométricas,Sentido Espacial,3-4 años,3,Fácil,Reconocer círculo y cuadrado|Diferenciar formas básicas|Nombrar formas geométricas,Mira cada forma|¿Es redonda o tiene esquinas?|Señala la respuesta,"Primera ficha de geometría. Presenta círculo y cuadrado de forma aislada y en objetos cotidianos (pelota, dado). 8 ejercicios de reconocimiento visual.",,<p>Aprende las formas: <strong>círculo y cuadrado</strong>. Ficha para <strong>3 años</strong> con dibujos grandes.</p>,pending,Infantil,3 Años,Matemáticas,Círculo y Cuadrado | 3 Años (3-4) Infantil,"Ficha de formas geométricas con 8 ejercicios de círculo y cuadrado. 3 Años Infantil, nivel fácil. ¡Aprende formas básicas! Descarga gratis."
INF006,Series de colores,Series,Sentido Numérico,3-4 años,3,Fácil,Reconocer patrones simples|Completar series de colores|Desarrollar lógica básica,Observa los colores|¿Cuál viene después?|Señala la respuesta correcta,Ficha de series con dos colores alternos (rojo-azul-rojo-azul). El niño debe identificar qué color sigue. 6 ejercicios con patrones visuales simples.,,<p><strong>Series de colores</strong> para <strong>3 años</strong>. Aprende patrones sencillos en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Matemáticas,Series de Colores | 3 Años (3-4) Infantil PDF,"Ficha de series con 6 ejercicios de patrones de colores. 3 Años Infantil, nivel fácil. ¡Completa las series! Descarga PDF gratis."
INF007,Reconocer vocal A,Vocales,Comunicación Verbal,3-4 años,2,Fácil,Reconocer la vocal A|Identificar sonido /a/|Señalar la letra A,Mira la letra A|Busca la A grande|Señala dónde está,Primera ficha de vocales. El niño aprende a reconocer la A mayúscula en diferentes tamaños y colores. 5 ejercicios de identificación visual.,,<p>Aprende la <strong>vocal A</strong> con esta ficha para <strong>3 años</strong>. Primera letra en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Lenguaje,Vocal A | 3 Años (3-4) Infantil Interactiva,"Ficha de la vocal A con 5 ejercicios de reconocimiento visual. 3 Años Infantil, nivel fácil. ¡Primera vocal! Descarga gratis."
INF008,Reconocer vocal E,Vocales,Comunicación Verbal,3-4 años,2,Fácil,Reconocer la vocal E|Identificar sonido /e/|Señalar la letra E,Observa la letra E|Busca la E grande|Señala dónde está,Ficha de la vocal E. Reconocimiento visual de E mayúscula en contextos variados. 5 ejercicios simples.,,<p><strong>Vocal E</strong> para <strong>Infantil 3 años</strong>. Aprende la segunda vocal.</p>,pending,Infantil,3 Años,Lenguaje,Vocal E | 3 Años (3-4) Infantil PDF,"Ficha de la vocal E con 5 ejercicios de reconocimiento. 3 Años Infantil, nivel fácil. ¡Segunda vocal! Descarga PDF gratis."
INF009,Trazos verticales,Grafomotricidad,Expresión Gráfica,3-4 años,3,Fácil,Realizar trazos verticales|Controlar movimiento de arriba a abajo|Preparar escritura,Pon el dedo arriba|Baja en línea recta|Repite el trazo,Ficha de grafomotricidad con líneas verticales. El niño repasa líneas de arriba hacia abajo. 6 ejercicios progresivos de mayor a menor tamaño.,,<p><strong>Trazos verticales</strong> para <strong>3 años</strong>. Preparación para la escritura en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Lenguaje,Trazos Verticales | 3 Años (3-4) Infantil,"Ficha de grafomotricidad con 6 ejercicios de trazos verticales. 3 Años Infantil, nivel fácil. ¡Prepara la escritura! Descarga gratis."
INF010,Trazos horizontales,Grafomotricidad,Expresión Gráfica,3-4 años,3,Fácil,Realizar trazos horizontales|Controlar movimiento de izquierda a derecha|Coordinar mano,Pon el dedo a la izquierda|Ve hacia la derecha|Repasa la línea,Ficha de líneas horizontales. El niño traza de izquierda a derecha siguiendo guías punteadas. 6 ejercicios con líneas cada vez más largas.,,<p><strong>Trazos horizontales</strong> para <strong>3 años</strong>. Ejercicios de grafomotricidad para <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Lenguaje,Trazos Horizontales | 3 Años (3-4) Infantil PDF,"Ficha con 6 ejercicios de trazos horizontales. 3 Años Infantil, nivel fácil. ¡Mejora la coordinación! Descarga PDF gratis."
INF011,Colors - Red,Colores,Lengua Extranjera,3-4 años,2,Fácil,Aprender el color rojo en inglés|Reconocer objetos rojos|Decir 'red',Look at the red color|Find red objects|Point to red,"Primera ficha de inglés. Presenta el color rojo (red) con objetos cotidianos rojos: manzana, corazón, globo. 5 ejercicios de reconocimiento.",,<p>Aprende <strong>red (rojo)</strong> en inglés. Ficha para <strong>3 años</strong> en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Inglés,Color Red | 3 Años (3-4) Infantil Inglés,"Ficha de inglés del color red (rojo) con 5 ejercicios visuales. 3 Años Infantil, nivel fácil. ¡First color! Descarga gratis."
INF012,Colors - Blue,Colores,Lengua Extranjera,3-4 años,2,Fácil,Aprender el color azul en inglés|Reconocer objetos azules|Decir 'blue',Look at the blue color|Find blue objects|Point to blue,"Ficha del color azul (blue). Objetos azules: cielo, mar, pelota. 5 ejercicios de identificación.",,<p><strong>Blue (azul)</strong> en inglés para <strong>3 años</strong>. Segunda ficha de colores en <strong>Infantil</strong>.</p>,pending,Infantil,3 Años,Inglés,Color Blue | 3 Años (3-4) Infantil PDF,"Ficha del color blue (azul) con 5 ejercicios de reconocimiento. 3 Años Infantil, nivel fácil. ¡Learn colors! Descarga PDF gratis."
INF013,Animals - Dog,Animales,Lengua Extranjera,3-4 años,2,Fácil,Aprender 'dog' en inglés|Reconocer perros|Imitar sonido del perro,Look at the dog|Say 'woof woof'|Point to the dog,Primera ficha de animales. El perro (dog). Presenta diferentes razas de perros y el niño los identifica. 5 ejercicios con imágenes grandes.,,<p>Aprende <strong>dog (perro)</strong> en inglés. Ficha de animales para <strong>3 años</strong>.</p>,pending,Infantil,3 Años,Inglés,Animal Dog | 3 Años (3-4) Infantil Inglés,"Ficha de inglés del animal dog (perro) con 5 ejercicios. 3 Años Infantil, nivel fácil. ¡First animal! Descarga gratis."
INF014,El cuerpo humano - Cabeza,El Cuerpo Humano,Conocimiento del Entorno,3-4 años,2,Fácil,Identificar la cabeza|Señalar partes de la cara|Nombrar cabeza,Toca tu cabeza|Señala la cabeza en el dibujo|¿Dónde está la cabeza?,"Primera ficha del cuerpo humano. Presenta la cabeza y sus partes principales: ojos, boca, nariz. 5 ejercicios de reconocimiento.",,<p>Aprende las partes del cuerpo: <strong>la cabeza</strong>. Ficha para <strong>3 años</strong>.</p>,pending,Infantil,3 Años,Conocimiento del Entorno,La Cabeza | 3 Años (3-4) Infantil Cuerpo Humano,"Ficha del cuerpo humano: la cabeza con 5 ejercicios. 3 Años Infantil, nivel fácil. ¡Aprende tu cuerpo! Descarga PDF gratis."
INF015,El cuerpo humano - Manos,El Cuerpo Humano,Conocimiento del Entorno,3-4 años,2,Fácil,Identificar las manos|Contar dedos|Usar las manos,Levanta tus manos|Cuenta tus dedos|¿Para qué sirven?,"Ficha sobre las manos. El niño las reconoce, cuenta dedos (5 en cada mano) y aprende para qué sirven. 5 ejercicios interactivos.",,<p><strong>Las manos</strong> y sus funciones. Ficha del cuerpo humano para <strong>3 años</strong>.</p>,pending,Infantil,3 Años,Conocimiento del Entorno,Las Manos | 3 Años (3-4) Infantil PDF,"Ficha de las manos con 5 ejercicios de reconocimiento y conteo de dedos. 3 Años Infantil, nivel fácil. ¡Conoce tu cuerpo! Descarga gratis."
INF016,Animales domésticos,Animales,Conocimiento del Entorno,3-4 años,3,Fácil,"Reconocer animales domésticos|Nombrar perro, gato, pez|Identificar dónde viven",Mira cada animal|¿Vive en tu casa?|Señala los animales domésticos,"Ficha de animales que viven en casa: perro, gato, pez, pájaro. El niño los reconoce y diferencia de animales salvajes. 6 ejercicios.",,<p><strong>Animales domésticos</strong> para <strong>3 años</strong>. Aprende qué animales viven en casa.</p>,pending,Infantil,3 Años,Conocimiento del Entorno,Animales Domésticos | 3 Años (3-4) Infantil,"Ficha de animales domésticos con 6 ejercicios de reconocimiento. 3 Años Infantil, nivel fácil. ¡Aprende animales de casa! Descarga gratis."
