"post_title","post_name","post_type","post_status","post_parent","post_content","menu_order","_wp_page_template","meta_title","descripcion_seo"
"3 Años","3-anos","page","publish","infantil","Fichas educativas para niños de 3 años. Recursos interactivos adaptados a la primera etapa de educación infantil.","1","page-hub-curso-infantil.php","Fichas para 3 Años ▷ Fichas Infantil Gratis | Fichas.es","Fichas interactivas para 3 años. Actividades de lógica, lectoescritura y conocimiento del entorno adaptadas a niños de educación infantil."
"4 Años","4-anos","page","publish","infantil","Fichas educativas para niños de 4 años. Recursos interactivos para el segundo año de educación infantil.","2","page-hub-curso-infantil.php","Fichas para 4 Años ▷ Fichas Infantil Gratis | Fichas.es","Fichas interactivas para 4 años. Ejercicios de matemáticas, lectoescritura y conocimiento del entorno para el segundo curso de infantil."
"5 Años","5-anos","page","publish","infantil","Fichas educativas para niños de 5 años. Recursos para preparar el paso a primaria desde educación infantil.","3","page-hub-curso-infantil.php","Fichas para 5 Años ▷ Fichas Infantil Gratis | Fichas.es","Fichas interactivas para 5 años. Actividades de preparación para primaria con ejercicios de lógica-matemática y lectoescritura."
"Lógica-Matemática","logica-matematica","page","publish","infantil/3-anos","Fichas de lógica-matemática para niños de 3 años. Números, formas, colores y conceptos básicos.","1","page-asignatura.php","Fichas de Matemáticas 3 Años ▷ Números y Formas | Fichas.es","Fichas de matemáticas para 3 años. Ejercicios de números, formas geométricas, colores y conceptos espaciales."
"Lectoescritura","lectoescritura","page","publish","infantil/3-anos","Fichas de lectoescritura para 3 años. Iniciación al trazo, vocales y grafomotricidad.","2","page-asignatura.php","Fichas de Lectoescritura 3 Años ▷ Grafomotricidad | Fichas.es","Fichas de lectoescritura para 3 años. Ejercicios de grafomotricidad, trazos y reconocimiento de vocales."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/3-anos","Fichas de conocimiento del entorno para 3 años. El cuerpo, la familia, animales y plantas.","3","page-asignatura.php","Fichas Conocimiento del Entorno 3 Años ▷ El Cuerpo | Fichas.es","Fichas de conocimiento del entorno para 3 años. Actividades sobre el cuerpo humano, la familia y el entorno cercano."
"Inglés","ingles","page","publish","infantil/3-anos","Fichas de inglés para niños de 3 años. Vocabulario básico, colores, números y animales en inglés.","4","page-asignatura.php","Fichas de Inglés 3 Años ▷ Vocabulario Básico | Fichas.es","Fichas de inglés para 3 años. Vocabulario básico en inglés: colores, números, saludos y animales."
"Lógica-Matemática","logica-matematica","page","publish","infantil/4-anos","Fichas de lógica-matemática para niños de 4 años. Números hasta 10, seriaciones y clasificaciones.","1","page-asignatura.php","Fichas de Matemáticas 4 Años ▷ Números hasta 10 | Fichas.es","Fichas de matemáticas para 4 años. Números hasta 10, sumas sencillas, formas geométricas y seriaciones."
"Lectoescritura","lectoescritura","page","publish","infantil/4-anos","Fichas de lectoescritura para 4 años. Vocales, consonantes y formación de palabras sencillas.","2","page-asignatura.php","Fichas de Lectoescritura 4 Años ▷ Vocales y Consonantes | Fichas.es","Fichas de lectoescritura para 4 años. Vocales, primeras consonantes y palabras sencillas."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/4-anos","Fichas de conocimiento del entorno para 4 años. Estaciones, oficios, medios de transporte.","3","page-asignatura.php","Fichas Conocimiento del Entorno 4 Años ▷ Estaciones | Fichas.es","Fichas de conocimiento del entorno para 4 años. Las estaciones del año, oficios y medios de transporte."
"Inglés","ingles","page","publish","infantil/4-anos","Fichas de inglés para niños de 4 años. Vocabulario ampliado, frases simples y comprensión básica.","4","page-asignatura.php","Fichas de Inglés 4 Años ▷ Vocabulario y Frases | Fichas.es","Fichas de inglés para 4 años. Vocabulario ampliado en inglés con frases simples y comprensión básica."
"Lógica-Matemática","logica-matematica","page","publish","infantil/5-anos","Fichas de lógica-matemática para niños de 5 años. Números hasta 20, sumas y restas iniciales.","1","page-asignatura.php","Fichas de Matemáticas 5 Años ▷ Sumas y Restas | Fichas.es","Fichas de matemáticas para 5 años. Números hasta 20, primeras sumas y restas, problemas sencillos."
"Lectoescritura","lectoescritura","page","publish","infantil/5-anos","Fichas de lectoescritura para 5 años. Lectura fluida, escritura de palabras y frases cortas.","2","page-asignatura.php","Fichas de Lectoescritura 5 Años ▷ Lectura y Escritura | Fichas.es","Fichas de lectoescritura para 5 años. Lectura comprensiva, escritura de frases y preparación para primaria."
"Conocimiento del Entorno","conocimiento-entorno","page","publish","infantil/5-anos","Fichas de conocimiento del entorno para 5 años. El universo, el agua, los ecosistemas.","3","page-asignatura.php","Fichas Conocimiento del Entorno 5 Años ▷ El Universo | Fichas.es","Fichas de conocimiento del entorno para 5 años. El universo, los ecosistemas, el agua y las plantas."
"Inglés","ingles","page","publish","infantil/5-anos","Fichas de inglés para niños de 5 años. Conversación básica, comprensión oral y vocabulario avanzado.","4","page-asignatura.php","Fichas de Inglés 5 Años ▷ Conversación Básica | Fichas.es","Fichas de inglés para 5 años. Conversación básica en inglés, comprensión oral y vocabulario avanzado."
"Halloween","halloween","page","publish","infantil","Fichas de Halloween para infantil. Actividades temáticas con calabazas, fantasmas, brujas y monstruos para celebrar Halloween en el aula.","10","page-tematica-estacional.php","Fichas de Halloween Infantil ▷ Actividades 3-5 Años | Fichas.es","Fichas de Halloween para infantil. Actividades educativas temáticas de calabazas, brujas y monstruos para niños de 3 a 5 años."
"Navidad","navidad","page","publish","infantil","Fichas de Navidad para infantil. Actividades navideñas con Papá Noel, árboles de Navidad, renos y villancicos para el aula.","11","page-tematica-estacional.php","Fichas de Navidad Infantil ▷ Actividades Navideñas | Fichas.es","Fichas de Navidad para infantil. Actividades educativas navideñas para niños de 3 a 5 años con Papá Noel, renos y árboles."
"Invierno","invierno","page","publish","infantil","Fichas de Invierno para infantil. Actividades sobre la nieve, muñecos de nieve, el frío y la ropa de invierno.","12","page-tematica-estacional.php","Fichas de Invierno Infantil ▷ Nieve y Muñecos | Fichas.es","Fichas de Invierno para infantil. Actividades educativas sobre la nieve, muñecos de nieve y ropa de invierno para 3-5 años."
"Primavera","primavera","page","publish","infantil","Fichas de Primavera para infantil. Actividades sobre flores, mariposas, abejas y el renacimiento de la naturaleza.","13","page-tematica-estacional.php","Fichas de Primavera Infantil ▷ Flores y Mariposas | Fichas.es","Fichas de Primavera para infantil. Actividades educativas sobre flores, mariposas y la naturaleza para niños de 3 a 5 años."
"Verano","verano","page","publish","infantil","Fichas de Verano para infantil. Actividades sobre la playa, el sol, el mar, frutas de verano y vacaciones.","14","page-tematica-estacional.php","Fichas de Verano Infantil ▷ Playa y Sol | Fichas.es","Fichas de Verano para infantil. Actividades educativas sobre la playa, el mar y las vacaciones para niños de 3 a 5 años."
"Otoño","otono","page","publish","infantil","Fichas de Otoño para infantil. Actividades sobre hojas caídas, castañas, setas y los colores del otoño.","15","page-tematica-estacional.php","Fichas de Otoño Infantil ▷ Hojas y Castañas | Fichas.es","Fichas de Otoño para infantil. Actividades educativas sobre hojas, castañas y los colores del otoño para 3-5 años."
